name,category,strucBreaks
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/RP0/CPU0]ipv6__lisp-v4-decap-packets,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/RP0/CPU0]ipv6__lisp-v6-encap-packets,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/RP0/CPU0]ipv6__lisp-v6-decap-packets,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/RP0/CPU0]ipv6__lisp-encap-errors,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/RP0/CPU0]ipv6__lisp-decap-errors,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/RP0/CPU0]icmp__total-messages,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/RP0/CPU0]icmp__too-short-error-messages,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/RP0/CPU0]icmp__checksum-error-messages,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/RP0/CPU0]icmp__unknown-error-type-message0/RP0/CPU0,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/RP0/CPU0]icmp__output-messages,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/RP0/CPU0]icmp__sent-rate-limited-packets,Constant Slopes,
